street_number,street_name,city,state,country,address,bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,view,pool,commission,sale_date,price_per_sqft,sale_price
10490,Wilkins AVE,Los Angeles,CA,United States of America,"10490, Wilkins AVE, Los Angeles, CA, United States of America",3,2,1949,88,6563,17,Y,N,2.5,44901,1247.59,2431550
5208 N,Maywood AVE,Los Angeles,CA,United States of America,"5208 N, Maywood AVE, Los Angeles, CA, United States of America",3,2,1777,101,11081,17,Y,N,2.5,44869,794.03,1411000
2674,Locksley PL,Los Angeles,CA,United States of America,"2674, Locksley PL, Los Angeles, CA, United States of America",3,2,1519,92,5423,17,Y,N,2.5,44866,1036.87,1575000
2965,Adkins AVE,Los Angeles,CA,United States of America,"2965, Adkins AVE, Los Angeles, CA, United States of America",3,2,1398,64,5102,17,Y,N,2.5,45055,894.13,1250000
3730,Oak Hill AVE,Los Angeles,CA,United States of America,"3730, Oak Hill AVE, Los Angeles, CA, United States of America",3,2,1385,74,7517,17,Y,N,2.5,44894,1083.03,1500000
335 E,138th ST,Los Angeles,CA,United States of America,"335 E, 138th ST, Los Angeles, CA, United States of America",3,2,1348,74,5501,18,Y,N,2.5,44978,519.21,699900
816 N,Normandie AVE,Los Angeles,CA,United States of America,"816 N, Normandie AVE, Los Angeles, CA, United States of America",3,2,3130,112,8512,18,Y,N,2.5,44973,413.74,1295000
7356,PYRAMID PL,Los Angeles,CA,United States of America,"7356, PYRAMID PL, Los Angeles, CA, United States of America",3,2,1591,71,12530,18,Y,N,2.5,44797,1480.2,2355000
479,Dustin DR,Los Angeles,CA,United States of America,"479, Dustin DR, Los Angeles, CA, United States of America",3,2,1352,61,3230,18,Y,N,2.5,45006,928.25,1255000
7451,Midfield AVE,Los Angeles,CA,United States of America,"7451, Midfield AVE, Los Angeles, CA, United States of America",3,2,1127,73,6007,18,Y,N,2.5,44972,1100.27,1240000
6660 W,81st ST,Los Angeles,CA,United States of America,"6660 W, 81st ST, Los Angeles, CA, United States of America",3,2,1233,79,5961,19,Y,N,2.5,44963,1021.9,1260000
4127,Tracy ST,Los Angeles,CA,United States of America,"4127, Tracy ST, Los Angeles, CA, United States of America",3,2,1672,87,7379,19,Y,N,2.5,44887,825.96,1381000
4754,Cleland AVE,Los Angeles,CA,United States of America,"4754, Cleland AVE, Los Angeles, CA, United States of America",3,2,1627,60,10085,20,Y,N,2.5,44824,875.85,1425000
1345,Comstock AVE,Los Angeles,CA,United States of America,"1345, Comstock AVE, Los Angeles, CA, United States of America",3,2,2609,95,9024,20,Y,N,2.5,44820,1245.69,3250000
4806,Malta ST,Los Angeles,CA,United States of America,"4806, Malta ST, Los Angeles, CA, United States of America",3,2,1720,91,5600,20,Y,N,2.5,44839,689.83,1186500
4020,Division ST,Los Angeles,CA,United States of America,"4020, Division ST, Los Angeles, CA, United States of America",3,2,1720,47,7346,20,Y,N,2.5,44827,592.44,1019000
2815,Griffith Park BLVD,Los Angeles,CA,United States of America,"2815, Griffith Park BLVD, Los Angeles, CA, United States of America",3,2,1816,83,8449,20,Y,N,2.5,45065,958.15,1740000
347 N,Orlando AVE,Los Angeles,CA,United States of America,"347 N, Orlando AVE, Los Angeles, CA, United States of America",3,2,1716,96,6500,20,Y,N,2.5,45043,1150.93,1975000
6242,Roy ST,Los Angeles,CA,United States of America,"6242, Roy ST, Los Angeles, CA, United States of America",3,2,1472,96,4453,20,Y,N,2.5,45016,951.09,1400000
1713 W,111TH ST,Los Angeles,CA,United States of America,"1713 W, 111TH ST, Los Angeles, CA, United States of America",3,2,1143,76,5200,20,Y,N,2.5,44914,621.17,710000
537 N,Cummings ST,Los Angeles,CA,United States of America,"537 N, Cummings ST, Los Angeles, CA, United States of America",3,2,1348,103,5622,202,Y,N,2.5,44887,315.28,425000
6376,Nancy ST,Los Angeles,CA,United States of America,"6376, Nancy ST, Los Angeles, CA, United States of America",3,2,1477,72,7849,21,Y,N,2.5,44932,987.14,1458000
5930,Cimarron ST,Los Angeles,CA,United States of America,"5930, Cimarron ST, Los Angeles, CA, United States of America",3,2,850,100,4202,21,Y,N,2.5,44846,670.59,570000
1425,Angelus AVE,Los Angeles,CA,United States of America,"1425, Angelus AVE, Los Angeles, CA, United States of America",3,2,2194,98,4987,21,Y,N,2.5,44880,783.96,1720000
2041 S,Palm Grove AVE,Los Angeles,CA,United States of America,"2041 S, Palm Grove AVE, Los Angeles, CA, United States of America",3,2,1140,101,5801,21,Y,N,2.5,44916,1070.18,1220000
1432,Pandora AVE,Los Angeles,CA,United States of America,"1432, Pandora AVE, Los Angeles, CA, United States of America",3,2,1958,86,7399,22,Y,N,2.5,44902,1136.36,2225000
3810,Glenfeliz BLVD,Los Angeles,CA,United States of America,"3810, Glenfeliz BLVD, Los Angeles, CA, United States of America",3,2,1213,91,4832,22,Y,N,2.5,44819,857.38,1040000
1938 S,Victoria AVE,Los Angeles,CA,United States of America,"1938 S, Victoria AVE, Los Angeles, CA, United States of America",3,2,2292,104,8797,22,Y,N,2.5,44861,565.01,1295000
2841 S,Palm Grove AVE,Los Angeles,CA,United States of America,"2841 S, Palm Grove AVE, Los Angeles, CA, United States of America",3,2,1428,109,5200,22,Y,N,2.5,44790,850.84,1215000
3717,Mountain View AVE,Los Angeles,CA,United States of America,"3717, Mountain View AVE, Los Angeles, CA, United States of America",3,2,1984,115,11968,22,Y,N,2.5,44972,1189.52,2360000
8317,Kirkwood DR,Los Angeles,CA,United States of America,"8317, Kirkwood DR, Los Angeles, CA, United States of America",3,2,1370,61,4891,225,Y,N,2.5,45016,912.41,1250000
1801 S,Crescent Heights BLVD,Los Angeles,CA,United States of America,"1801 S, Crescent Heights BLVD, Los Angeles, CA, United States of America",3,2,1544,82,6296,23,Y,N,2.5,45051,825.78,1275000
333 W,Avenue 41,Los Angeles,CA,United States of America,"333 W, Avenue 41, Los Angeles, CA, United States of America",3,2,1609,96,4758,23,Y,N,2.5,44788,730.27,1175000
3764,Tracy ST,Los Angeles,CA,United States of America,"3764, Tracy ST, Los Angeles, CA, United States of America",3,2,1312,73,5430,24,Y,N,2.5,44886,1227.13,1610000
3721,Degnan BLVD,Los Angeles,CA,United States of America,"3721, Degnan BLVD, Los Angeles, CA, United States of America",3,2,1318,83,5953,24,Y,N,2.5,44972,910.47,1200000
2216,Westridge RD,Los Angeles,CA,United States of America,"2216, Westridge RD, Los Angeles, CA, United States of America",3,2,2403,64,9225,24,Y,N,2.5,44974,1290.05,3100000
5429 W,76th Street,Los Angeles,CA,United States of America,"5429 W, 76th Street, Los Angeles, CA, United States of America",3,2,1311,73,5000,24,Y,N,2.5,44851,976.35,1280000
441 E,127th ST,Los Angeles,CA,United States of America,"441 E, 127th ST, Los Angeles, CA, United States of America",3,2,1176,75,5000,24,Y,N,2.5,44926,497.45,585000
854 N,Bundy DR,Los Angeles,CA,United States of America,"854 N, Bundy DR, Los Angeles, CA, United States of America",3,2,2108,68,8716,25,Y,N,2.5,44847,1185.96,2500000
211 N,Avenue 65,Los Angeles,CA,United States of America,"211 N, Avenue 65, Los Angeles, CA, United States of America",3,2,1066,123,2537,25,Y,N,2.5,44806,750.47,800000
3108,Fernwood AVE,Los Angeles,CA,United States of America,"3108, Fernwood AVE, Los Angeles, CA, United States of America",3,2,2033,63,4809,25,Y,N,2.5,45049,1028.04,2090000
6303,Eunice AVE,Los Angeles,CA,United States of America,"6303, Eunice AVE, Los Angeles, CA, United States of America",3,2,2321,56,6784,25,Y,N,2.5,44789,825.51,1916000
3653,Tacoma AVE,Los Angeles,CA,United States of America,"3653, Tacoma AVE, Los Angeles, CA, United States of America",3,2,939,97,13558,26,Y,N,2.5,44994,1017.04,955000
10623,Croesus AVE,Los Angeles,CA,United States of America,"10623, Croesus AVE, Los Angeles, CA, United States of America",3,2,1600,38,3253,26,Y,N,2.5,44854,265.62,425000
