bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,commission,sale_price,population,median_family_income,price_per_sqft,clusters
3,2.0,1227,79,6117,55,2.5,1408000.0,3862210,71505.72,1147.5142624286875,2
3,2.0,2297,70,12058,55,2.5,2275000.0,3862210,71505.72,990.4222899434044,2
3,2.0,1434,111,5499,55,2.5,915000.0,3862210,71505.72,638.0753138075314,2
3,2.0,1254,85,5191,56,2.5,760000.0,3862210,71505.72,606.060606060606,2
3,2.0,1678,60,8817,56,2.5,1220000.0,3862210,71505.72,727.0560190703218,2
3,2.0,1805,98,7722,57,2.5,2025000.0,3862210,71505.72,1121.8836565096954,2
3,2.0,1741,73,5500,6,2.5,1700000.0,3862210,71505.72,976.4503159103964,2
3,2.0,1946,56,7532,6,2.5,1128000.0,3862210,71505.72,579.650565262076,2
3,2.0,1010,94,5758,6,2.5,940000.0,3862210,71505.72,930.6930693069309,2
3,2.0,1209,69,4800,6,2.5,859000.0,3862210,71505.72,710.5045492142266,2
3,2.0,1304,85,5798,6,2.5,895000.0,3862210,71505.72,686.3496932515337,2
3,2.0,1880,89,5998,6,2.5,1225000.0,3862210,71505.72,651.5957446808511,2
3,2.0,1436,69,7381,6,2.5,1131000.0,3862210,71505.72,787.6044568245126,2
3,2.0,1380,45,4947,6,2.5,670000.0,3862210,71505.72,485.5072463768116,2
3,2.0,1349,82,9870,6,2.5,1321650.0,3862210,71505.72,979.7257227575982,2
3,2.0,1562,98,5936,60,2.5,1375000.0,3862210,71505.72,880.2816901408451,2
3,2.0,1437,117,5979,62,2.5,815000.0,3862210,71505.72,567.1537926235212,2
3,2.0,2296,69,10619,63,2.5,2225000.0,3862210,71505.72,969.0766550522648,2
3,2.0,1790,76,8187,63,2.5,2840000.0,3862210,71505.72,1586.5921787709497,2
3,2.0,1783,113,7489,63,2.5,1060000.0,3862210,71505.72,594.5036455412227,2
3,2.0,1848,76,5495,63,2.5,1660000.0,3862210,71505.72,898.2683982683983,2
3,2.0,1381,73,6200,63,2.5,1699000.0,3862210,71505.72,1230.2679217958002,2
3,2.0,1404,112,7201,64,2.5,1535000.0,3862210,71505.72,1093.3048433048434,2
3,2.0,1204,64,3757,66,2.5,1062500.0,3862210,71505.72,882.4750830564784,2
3,2.0,2194,63,6351,66,2.5,1695000.0,3862210,71505.72,772.5615314494074,2
3,2.0,2289,66,9558,69,2.5,1835000.0,3862210,71505.72,801.660113586719,2
3,2.0,1446,74,10616,7,2.5,1482832.0,3862210,71505.72,1025.471645919779,2
3,2.0,1104,98,5000,7,2.5,1035000.0,3862210,71505.72,937.5,2
3,2.0,1365,63,7159,7,2.5,1229000.0,3862210,71505.72,900.3663003663004,2
3,2.0,1840,65,5965,7,2.5,1614000.0,3862210,71505.72,877.1739130434783,2
3,2.0,1231,97,5790,7,2.5,1821000.0,3862210,71505.72,1479.285134037368,2
3,2.0,1641,74,3897,7,2.5,1850000.0,3862210,71505.72,1127.3613650213283,2
3,2.0,1040,78,5637,7,2.5,660000.0,3862210,71505.72,634.6153846153846,2
3,2.0,2037,95,5265,7,2.5,2802000.0,3862210,71505.72,1375.5522827687776,2
3,2.0,1827,99,6751,70,2.5,1550000.0,3862210,71505.72,848.3853311439518,2
3,2.0,1638,81,6110,76,2.5,1000000.0,3862210,71505.72,610.5006105006105,2
3,2.0,1011,110,5615,79,2.5,1400000.0,3862210,71505.72,1384.767556874382,2
3,2.0,1627,70,7434,8,2.5,1295000.0,3862210,71505.72,795.9434542102028,2
3,2.0,1393,81,5968,8,2.5,690000.0,3862210,71505.72,495.3338119167265,2
3,2.0,1444,69,10109,8,2.5,1717000.0,3862210,71505.72,1189.0581717451523,2
3,2.0,1508,109,6994,8,2.5,977000.0,3862210,71505.72,647.8779840848806,2
3,2.0,2024,87,6505,8,2.5,1730000.0,3862210,71505.72,854.7430830039526,2
3,2.0,1620,76,12925,8,2.5,1725000.0,3862210,71505.72,1064.8148148148148,2
3,2.0,1552,71,5446,8,2.5,1850700.0,3862210,71505.72,1192.4613402061857,2
3,2.0,2263,75,13432,8,2.5,2825000.0,3862210,71505.72,1248.3429076447194,2
3,2.0,1758,58,5387,8,2.5,1235000.0,3862210,71505.72,702.5028441410694,2
3,2.0,1140,95,3725,8,2.5,880000.0,3862210,71505.72,771.9298245614035,2
3,2.0,1294,118,6113,8,2.5,785000.0,3862210,71505.72,606.646058732612,2
3,2.0,1216,66,17483,80,2.5,1280000.0,3862210,71505.72,1052.6315789473683,2
3,2.0,1542,62,5872,82,2.5,1775000.0,3862210,71505.72,1151.1024643320363,2
3,2.0,1481,97,2866,82,2.5,1390000.0,3862210,71505.72,938.5550303848752,2
3,2.0,2224,73,7638,82,2.5,1950000.0,3862210,71505.72,876.7985611510792,2
3,2.0,1064,96,5201,83,2.5,760000.0,3862210,71505.72,714.2857142857143,2
3,2.0,1845,102,3945,85,2.5,1050000.0,3862210,71505.72,569.1056910569106,2
3,2.0,1263,101,7492,88,2.5,1270000.0,3862210,71505.72,1005.5423594615994,2
3,2.0,1008,114,5402,88,2.5,715000.0,3862210,71505.72,709.3253968253969,2
3,2.0,1598,114,5593,89,2.5,1150000.0,3862210,71505.72,719.6495619524405,2
3,2.0,1563,82,7456,9,2.5,1750000.0,3862210,71505.72,1119.6417146513115,2
3,2.0,1685,84,8273,9,2.5,2370000.0,3862210,71505.72,1406.528189910979,2
3,2.0,1063,111,5205,9,2.5,735500.0,3862210,71505.72,691.9096895578551,2
3,2.0,1567,96,5399,9,2.5,1875000.0,3862210,71505.72,1196.553924696873,2
3,2.0,1208,73,5200,9,2.5,1408000.0,3862210,71505.72,1165.5629139072848,2
3,2.0,1088,102,4205,9,2.5,1275000.0,3862210,71505.72,1171.875,2
3,2.0,1101,77,6057,9,2.5,1350000.0,3862210,71505.72,1226.158038147139,2
3,2.0,1617,97,4999,91,2.5,1399000.0,3862210,71505.72,865.182436611008,2
3,2.0,1177,118,3984,92,2.5,654800.0,3862210,71505.72,556.3296516567544,2
3,2.0,930,95,3154,99,2.5,800000.0,3862210,71505.72,860.2150537634409,2
3,2.0,1320,16,3250,0,2.5,605000.0,3862210,71505.72,458.3333333333333,2
3,2.0,1410,102,5202,0,2.5,1381000.0,3862210,71505.72,979.4326241134752,2
3,2.0,1622,92,5000,0,2.5,1595000.0,3862210,71505.72,983.3538840937116,2
3,2.0,1369,84,4937,0,2.5,1495000.0,3862210,71505.72,1092.0379839298755,2
3,2.0,1200,106,4880,0,2.5,699900.0,3862210,71505.72,583.25,2
3,2.0,1558,39,6369,0,2.5,460000.0,3862210,71505.72,295.25032092426187,2
3,2.0,1860,75,7283,0,2.5,810000.0,3862210,71505.72,435.483870967742,2
3,2.0,1491,85,6652,0,2.5,1775000.0,3862210,71505.72,1190.4761904761904,2
3,2.0,1168,100,4802,0,2.5,1050000.0,3862210,71505.72,898.972602739726,2
3,2.0,1040,100,4829,0,2.5,649900.0,3862210,71505.72,624.9038461538462,2
3,2.0,1276,16,3249,0,2.5,605000.0,3862210,71505.72,474.13793103448273,2
3,2.0,2308,96,7207,0,2.5,2200000.0,3862210,71505.72,953.2062391681108,2
3,2.0,1782,97,8246,0,2.5,2100000.0,3862210,71505.72,1178.4511784511783,2
3,2.0,1233,72,6292,0,2.5,975000.0,3862210,71505.72,790.7542579075425,2
3,2.0,1785,98,6463,0,2.5,2400000.0,3862210,71505.72,1344.5378151260504,2
3,2.0,1472,97,6700,0,2.5,550000.0,3862210,71505.72,373.64130434782606,2
3,2.0,1923,87,6150,0,2.5,1900000.0,3862210,71505.72,988.0395215808632,2
3,2.0,1092,76,5101,0,2.5,600000.0,3862210,71505.72,549.4505494505495,2
3,2.0,1414,94,4803,0,2.5,540000.0,3862210,71505.72,381.8953323903819,2
3,2.0,1457,82,5854,0,2.5,1035000.0,3862210,71505.72,710.3637611530543,2
3,2.0,1546,83,6748,1,2.5,860000.0,3862210,71505.72,556.27425614489,2
3,2.0,1872,98,6550,10,2.5,2160000.0,3862210,71505.72,1153.8461538461538,2
3,2.0,1610,75,5129,10,2.5,1250000.0,3862210,71505.72,776.3975155279503,2
3,2.0,1312,102,7024,10,2.5,1750000.0,3862210,71505.72,1333.841463414634,2
3,2.0,2103,73,6534,10,2.5,2272865.0,3862210,71505.72,1080.772705658583,2
3,2.0,1267,82,5980,10,2.5,1625000.0,3862210,71505.72,1282.5572217837412,2
3,2.0,1084,79,5479,10,2.5,660000.0,3862210,71505.72,608.8560885608856,2
3,2.0,1469,83,6000,10,2.5,1515000.0,3862210,71505.72,1031.3138189244385,2
3,2.0,1674,84,6250,10,2.5,2080000.0,3862210,71505.72,1242.5328554360813,2
3,2.0,1368,86,5100,10,2.5,720000.0,3862210,71505.72,526.3157894736842,2
3,2.0,1359,76,4902,10,2.5,1510000.0,3862210,71505.72,1111.111111111111,2
3,2.0,1550,77,6159,10,2.5,1480000.0,3862210,71505.72,954.8387096774194,2
3,2.0,1656,101,6341,10,2.5,650000.0,3862210,71505.72,392.512077294686,2
3,2.0,1269,94,4002,100,2.5,765000.0,3862210,71505.72,602.8368794326241,2
3,2.0,1568,90,4781,106,2.5,850000.0,3862210,71505.72,542.0918367346939,2
3,2.0,1532,57,4715,11,2.5,1975000.0,3862210,71505.72,1289.1644908616188,2
3,2.0,1293,101,3400,11,2.5,1350000.0,3862210,71505.72,1044.0835266821346,2
3,2.0,1500,75,6334,11,2.5,1500000.0,3862210,71505.72,1000.0,2
3,2.0,1478,82,5560,11,2.5,1150000.0,3862210,71505.72,778.0784844384303,2
3,2.0,1605,98,10182,11,2.5,1270000.0,3862210,71505.72,791.2772585669782,2
3,2.0,1782,99,6753,11,2.5,1603000.0,3862210,71505.72,899.5510662177329,2
3,2.0,1130,118,3483,11,2.5,1150700.0,3862210,71505.72,1018.3185840707964,2
3,2.0,1320,118,5187,11,2.5,1280000.0,3862210,71505.72,969.6969696969696,2
3,2.0,1602,98,5100,11,2.5,400000.0,3862210,71505.72,249.68789013732837,2
3,2.0,1260,100,5569,11,2.5,1160000.0,3862210,71505.72,920.6349206349206,2
3,2.0,1245,103,4065,11,2.5,799000.0,3862210,71505.72,641.7670682730924,2
3,2.0,1546,99,6750,11,2.5,1755000.0,3862210,71505.72,1135.1875808538164,2
3,2.0,1316,73,3174,11,2.5,1400000.0,3862210,71505.72,1063.8297872340424,2
3,2.0,1544,67,8176,11,2.5,1351000.0,3862210,71505.72,875.0,2
3,2.0,1311,76,6277,11,2.5,1438000.0,3862210,71505.72,1096.872616323417,2
3,2.0,1533,96,6400,11,2.5,1974300.0,3862210,71505.72,1287.8669275929549,2
3,2.0,1442,86,6709,11,2.5,845000.0,3862210,71505.72,585.9916782246879,2
3,2.0,1563,100,7029,111,2.5,1380000.0,3862210,71505.72,882.9174664107486,2
3,2.0,1758,76,6792,112,2.5,1175000.0,3862210,71505.72,668.3731513083048,2
3,2.0,1452,98,7001,118,2.5,999900.0,3862210,71505.72,688.6363636363636,2
3,2.0,1698,101,6239,12,2.5,1800000.0,3862210,71505.72,1060.070671378092,2
3,2.0,1563,86,3918,12,2.5,880000.0,3862210,71505.72,563.019833653231,2
3,2.0,1608,70,5804,12,2.5,1615000.0,3862210,71505.72,1004.3532338308456,2
3,2.0,1104,103,4922,12,2.5,580077.0,3862210,71505.72,525.4320652173913,2
3,2.0,1625,90,4896,12,2.5,1015000.0,3862210,71505.72,624.6153846153846,2
3,2.0,2118,96,7784,12,2.5,1815000.0,3862210,71505.72,856.9405099150142,2
3,2.0,1411,75,4834,12,2.5,1301000.0,3862210,71505.72,922.041105598866,2
3,2.0,1336,108,5445,12,2.5,950000.0,3862210,71505.72,711.0778443113772,2
3,2.0,1330,76,11229,12,2.5,1300000.0,3862210,71505.72,977.4436090225564,2
3,2.0,1853,77,7283,12,2.5,835000.0,3862210,71505.72,450.62061521856447,2
3,2.0,1816,90,7500,12,2.5,2256426.0,3862210,71505.72,1242.5253303964755,2
3,2.0,1501,109,5928,12,2.5,625000.0,3862210,71505.72,416.3890739506995,2
3,2.0,1372,96,6254,12,2.5,1465000.0,3862210,71505.72,1067.7842565597668,2
3,2.0,1180,103,6770,12,2.5,1773000.0,3862210,71505.72,1502.542372881356,2
3,2.0,1874,99,9060,12,2.5,2275000.0,3862210,71505.72,1213.980789754536,2
3,2.0,1169,76,5499,12,2.5,650000.0,3862210,71505.72,556.0307955517536,2
3,2.0,1373,76,6664,12,2.5,1660000.0,3862210,71505.72,1209.0313182811362,2
3,2.0,1329,65,3251,121,2.5,525000.0,3862210,71505.72,395.0338600451468,2
3,2.0,1991,67,7003,123,2.5,1900000.0,3862210,71505.72,954.2943244600704,2
3,2.0,1300,97,5000,13,2.5,1180000.0,3862210,71505.72,907.6923076923076,2
3,2.0,1543,79,5998,13,2.5,1463500.0,3862210,71505.72,948.4769928710303,2
3,2.0,1015,114,2246,13,2.5,541000.0,3862210,71505.72,533.0049261083744,2
