bedroom,bathrooms,property_sqft,property_age,lot_sqft,dom,commission,sale_price,population,median_family_income,price_per_sqft,county_Orange,county_Riverside,county_San Bernardino,view_Y,pool_Y
3,2.0,1428,109,5200,22,2.5,1215000.0,3862210,71505.72,850.8403361344538,0,0,0,1,0
3,2.0,1984,115,11968,22,2.5,2360000.0,3862210,71505.72,1189.516129032258,0,0,0,1,0
3,2.0,1370,61,4891,225,2.5,1250000.0,3862210,71505.72,912.4087591240876,0,0,0,1,0
3,2.0,1544,82,6296,23,2.5,1275000.0,3862210,71505.72,825.7772020725389,0,0,0,1,0
3,2.0,1609,96,4758,23,2.5,1175000.0,3862210,71505.72,730.2672467371038,0,0,0,1,0
3,2.0,1312,73,5430,24,2.5,1610000.0,3862210,71505.72,1227.1341463414635,0,0,0,1,0
3,2.0,1318,83,5953,24,2.5,1200000.0,3862210,71505.72,910.4704097116844,0,0,0,1,0
3,2.0,2403,64,9225,24,2.5,3100000.0,3862210,71505.72,1290.054099042863,0,0,0,1,0
3,2.0,1311,73,5000,24,2.5,1280000.0,3862210,71505.72,976.3539282990084,0,0,0,1,0
3,2.0,1176,75,5000,24,2.5,585000.0,3862210,71505.72,497.44897959183675,0,0,0,1,0
3,2.0,2108,68,8716,25,2.5,2500000.0,3862210,71505.72,1185.9582542694498,0,0,0,1,0
3,2.0,1066,123,2537,25,2.5,800000.0,3862210,71505.72,750.46904315197,0,0,0,1,0
3,2.0,2033,63,4809,25,2.5,2090000.0,3862210,71505.72,1028.03738317757,0,0,0,1,0
3,2.0,2321,56,6784,25,2.5,1916000.0,3862210,71505.72,825.5062473071952,0,0,0,1,0
3,2.0,939,97,13558,26,2.5,955000.0,3862210,71505.72,1017.0394036208733,0,0,0,1,0
3,2.0,1600,38,3253,26,2.5,425000.0,3862210,71505.72,265.625,0,0,0,1,0
3,2.0,1731,66,18413,26,2.5,1290000.0,3862210,71505.72,745.2339688041594,0,0,0,1,0
3,2.0,1708,61,11730,27,2.5,1750000.0,3862210,71505.72,1024.5901639344263,0,0,0,1,0
3,2.0,1056,97,1755,28,2.5,1225000.0,3862210,71505.72,1160.0378787878788,0,0,0,1,0
3,2.0,1785,98,8250,29,2.5,2300000.0,3862210,71505.72,1288.515406162465,0,0,0,1,0
3,2.0,1636,87,5403,29,2.5,940000.0,3862210,71505.72,574.5721271393643,0,0,0,1,0
3,2.0,1491,83,19368,29,2.5,2360000.0,3862210,71505.72,1582.8303152246815,0,0,0,1,0
3,2.0,1783,84,5859,29,2.5,2085000.0,3862210,71505.72,1169.377453729669,0,0,0,1,0
3,2.0,1423,75,6396,3,2.5,1005000.0,3862210,71505.72,706.2543921293043,0,0,0,1,0
3,2.0,1500,65,10317,3,2.5,2000000.0,3862210,71505.72,1333.3333333333333,0,0,0,1,0
3,2.0,1574,85,5113,30,2.5,1849000.0,3862210,71505.72,1174.7141041931386,0,0,0,1,0
3,2.0,1400,76,5720,30,2.5,1377000.0,3862210,71505.72,983.5714285714286,0,0,0,1,0
3,2.0,1989,61,17440,30,2.5,2820000.0,3862210,71505.72,1417.7978883861238,0,0,0,1,0
3,2.0,2364,74,9021,31,2.5,2900000.0,3862210,71505.72,1226.7343485617598,0,0,0,1,0
3,2.0,1345,99,5017,32,2.5,925000.0,3862210,71505.72,687.7323420074349,0,0,0,1,0
3,2.0,1834,95,5100,32,2.5,600000.0,3862210,71505.72,327.15376226826606,0,0,0,1,0
3,2.0,2056,72,7251,33,2.5,2450000.0,3862210,71505.72,1191.634241245136,0,0,0,1,0
3,2.0,1915,84,6213,34,2.5,1980000.0,3862210,71505.72,1033.9425587467363,0,0,0,1,0
3,2.0,1392,120,7500,34,2.5,1797000.0,3862210,71505.72,1290.948275862069,0,0,0,1,0
3,2.0,1256,110,4962,35,2.5,750000.0,3862210,71505.72,597.1337579617834,0,0,0,1,0
3,2.0,2051,67,12463,35,2.5,1950000.0,3862210,71505.72,950.7557289127255,0,0,0,1,0
3,2.0,2096,91,10251,36,2.5,1720000.0,3862210,71505.72,820.6106870229007,0,0,0,1,0
3,2.0,832,102,4570,38,2.5,595000.0,3862210,71505.72,715.1442307692307,0,0,0,1,0
3,2.0,1560,72,5614,38,2.5,1425000.0,3862210,71505.72,913.4615384615385,0,0,0,1,0
3,2.0,1563,82,7456,39,2.5,1750000.0,3862210,71505.72,1119.6417146513115,0,0,0,1,0
3,2.0,1276,97,6700,4,2.5,765000.0,3862210,71505.72,599.5297805642633,0,0,0,1,0
3,2.0,1344,102,6000,4,2.5,615000.0,3862210,71505.72,457.5892857142857,0,0,0,1,0
3,2.0,1656,95,7248,4,2.5,2450000.0,3862210,71505.72,1479.4685990338164,0,0,0,1,0
3,2.0,1876,97,5739,40,2.5,1270000.0,3862210,71505.72,676.9722814498934,0,0,0,1,0
3,2.0,2180,95,6510,40,2.5,2000000.0,3862210,71505.72,917.4311926605504,0,0,0,1,0
3,2.0,1276,74,5304,40,2.5,779900.0,3862210,71505.72,611.2068965517242,0,0,0,1,0
3,2.0,1464,95,5405,41,2.5,819000.0,3862210,71505.72,559.4262295081967,0,0,0,1,0
3,2.0,2022,99,4466,42,2.5,1875000.0,3862210,71505.72,927.299703264095,0,0,0,1,0
3,2.0,2497,116,6557,44,2.5,1650000.0,3862210,71505.72,660.7929515418502,0,0,0,1,0
3,2.0,2090,91,6075,44,2.5,1330000.0,3862210,71505.72,636.3636363636364,0,0,0,1,0
3,2.0,1759,86,5094,44,2.5,975000.0,3862210,71505.72,554.2922114837976,0,0,0,1,0
3,2.0,1820,88,8197,45,2.5,1480000.0,3862210,71505.72,813.1868131868132,0,0,0,1,0
3,2.0,1499,97,5200,45,2.5,799000.0,3862210,71505.72,533.022014676451,0,0,0,1,0
3,2.0,1600,84,9708,48,2.5,1675000.0,3862210,71505.72,1046.875,0,0,0,1,0
3,2.0,1500,99,5802,48,2.5,960000.0,3862210,71505.72,640.0,0,0,0,1,0
3,2.0,1208,97,4427,49,2.5,765000.0,3862210,71505.72,633.2781456953643,0,0,0,1,0
3,2.0,1473,98,4520,5,2.5,860000.0,3862210,71505.72,583.8424983027834,0,0,0,1,0
3,2.0,1697,74,6748,5,2.5,1175000.0,3862210,71505.72,692.3983500294638,0,0,0,1,0
3,2.0,930,105,3629,5,2.5,1210000.0,3862210,71505.72,1301.0752688172042,0,0,0,1,0
3,2.0,1847,69,5631,50,2.5,1590000.0,3862210,71505.72,860.855441256091,0,0,0,1,0
3,2.0,1038,100,3571,50,2.5,656000.0,3862210,71505.72,631.9845857418112,0,0,0,1,0
3,2.0,1605,82,5000,52,2.5,1150000.0,3862210,71505.72,716.5109034267913,0,0,0,1,0
3,2.0,1154,96,6672,54,2.5,1550000.0,3862210,71505.72,1343.15424610052,0,0,0,1,0
3,2.0,1404,76,5460,54,2.5,642000.0,3862210,71505.72,457.2649572649573,0,0,0,1,0
3,2.0,1227,79,6117,55,2.5,1408000.0,3862210,71505.72,1147.5142624286877,0,0,0,1,0
3,2.0,2297,70,12058,55,2.5,2275000.0,3862210,71505.72,990.4222899434044,0,0,0,1,0
3,2.0,1434,111,5499,55,2.5,915000.0,3862210,71505.72,638.0753138075314,0,0,0,1,0
3,2.0,1254,85,5191,56,2.5,760000.0,3862210,71505.72,606.060606060606,0,0,0,1,0
3,2.0,1678,60,8817,56,2.5,1220000.0,3862210,71505.72,727.0560190703218,0,0,0,1,0
3,2.0,1805,98,7722,57,2.5,2025000.0,3862210,71505.72,1121.8836565096954,0,0,0,1,0
3,2.0,1741,73,5500,6,2.5,1700000.0,3862210,71505.72,976.4503159103963,0,0,0,1,0
3,2.0,1946,56,7532,6,2.5,1128000.0,3862210,71505.72,579.650565262076,0,0,0,1,0
3,2.0,1010,94,5758,6,2.5,940000.0,3862210,71505.72,930.6930693069307,0,0,0,1,0
3,2.0,1209,69,4800,6,2.5,859000.0,3862210,71505.72,710.5045492142266,0,0,0,1,0
3,2.0,1304,85,5798,6,2.5,895000.0,3862210,71505.72,686.3496932515337,0,0,0,1,0
3,2.0,1880,89,5998,6,2.5,1225000.0,3862210,71505.72,651.5957446808511,0,0,0,1,0
3,2.0,1436,69,7381,6,2.5,1131000.0,3862210,71505.72,787.6044568245126,0,0,0,1,0
3,2.0,1380,45,4947,6,2.5,670000.0,3862210,71505.72,485.5072463768116,0,0,0,1,0
3,2.0,1349,82,9870,6,2.5,1321650.0,3862210,71505.72,979.7257227575982,0,0,0,1,0
3,2.0,1562,98,5936,60,2.5,1375000.0,3862210,71505.72,880.2816901408451,0,0,0,1,0
3,2.0,1437,117,5979,62,2.5,815000.0,3862210,71505.72,567.1537926235212,0,0,0,1,0
3,2.0,2296,69,10619,63,2.5,2225000.0,3862210,71505.72,969.0766550522648,0,0,0,1,0
3,2.0,1790,76,8187,63,2.5,2840000.0,3862210,71505.72,1586.5921787709497,0,0,0,1,0
3,2.0,1783,113,7489,63,2.5,1060000.0,3862210,71505.72,594.5036455412227,0,0,0,1,0
3,2.0,1848,76,5495,63,2.5,1660000.0,3862210,71505.72,898.2683982683983,0,0,0,1,0
3,2.0,1381,73,6200,63,2.5,1699000.0,3862210,71505.72,1230.2679217958002,0,0,0,1,0
3,2.0,1404,112,7201,64,2.5,1535000.0,3862210,71505.72,1093.3048433048434,0,0,0,1,0
3,2.0,1204,64,3757,66,2.5,1062500.0,3862210,71505.72,882.4750830564784,0,0,0,1,0
3,2.0,2194,63,6351,66,2.5,1695000.0,3862210,71505.72,772.5615314494074,0,0,0,1,0
3,2.0,2289,66,9558,69,2.5,1835000.0,3862210,71505.72,801.660113586719,0,0,0,1,0
3,2.0,1446,74,10616,7,2.5,1482832.0,3862210,71505.72,1025.4716459197787,0,0,0,1,0
3,2.0,1104,98,5000,7,2.5,1035000.0,3862210,71505.72,937.5,0,0,0,1,0
3,2.0,1365,63,7159,7,2.5,1229000.0,3862210,71505.72,900.3663003663004,0,0,0,1,0
3,2.0,1840,65,5965,7,2.5,1614000.0,3862210,71505.72,877.1739130434783,0,0,0,1,0
3,2.0,1231,97,5790,7,2.5,1821000.0,3862210,71505.72,1479.285134037368,0,0,0,1,0
3,2.0,1641,74,3897,7,2.5,1850000.0,3862210,71505.72,1127.3613650213285,0,0,0,1,0
3,2.0,1040,78,5637,7,2.5,660000.0,3862210,71505.72,634.6153846153846,0,0,0,1,0
3,2.0,2037,95,5265,7,2.5,2802000.0,3862210,71505.72,1375.5522827687776,0,0,0,1,0
3,2.0,1827,99,6751,70,2.5,1550000.0,3862210,71505.72,848.3853311439518,0,0,0,1,0
3,2.0,1638,81,6110,76,2.5,1000000.0,3862210,71505.72,610.5006105006105,0,0,0,1,0
3,2.0,1011,110,5615,79,2.5,1400000.0,3862210,71505.72,1384.7675568743819,0,0,0,1,0
3,2.0,1627,70,7434,8,2.5,1295000.0,3862210,71505.72,795.9434542102028,0,0,0,1,0
3,2.0,1393,81,5968,8,2.5,690000.0,3862210,71505.72,495.3338119167265,0,0,0,1,0
3,2.0,1444,69,10109,8,2.5,1717000.0,3862210,71505.72,1189.0581717451523,0,0,0,1,0
3,2.0,1508,109,6994,8,2.5,977000.0,3862210,71505.72,647.8779840848806,0,0,0,1,0
3,2.0,2024,87,6505,8,2.5,1730000.0,3862210,71505.72,854.7430830039526,0,0,0,1,0
3,2.0,1620,76,12925,8,2.5,1725000.0,3862210,71505.72,1064.8148148148148,0,0,0,1,0
3,2.0,1552,71,5446,8,2.5,1850700.0,3862210,71505.72,1192.4613402061855,0,0,0,1,0
3,2.0,2263,75,13432,8,2.5,2825000.0,3862210,71505.72,1248.3429076447194,0,0,0,1,0
3,2.0,1758,58,5387,8,2.5,1235000.0,3862210,71505.72,702.5028441410694,0,0,0,1,0
3,2.0,1140,95,3725,8,2.5,880000.0,3862210,71505.72,771.9298245614035,0,0,0,1,0
3,2.0,1294,118,6113,8,2.5,785000.0,3862210,71505.72,606.646058732612,0,0,0,1,0
3,2.0,1216,66,17483,80,2.5,1280000.0,3862210,71505.72,1052.6315789473683,0,0,0,1,0
3,2.0,1542,62,5872,82,2.5,1775000.0,3862210,71505.72,1151.1024643320363,0,0,0,1,0
3,2.0,1481,97,2866,82,2.5,1390000.0,3862210,71505.72,938.5550303848751,0,0,0,1,0
3,2.0,2224,73,7638,82,2.5,1950000.0,3862210,71505.72,876.7985611510792,0,0,0,1,0
3,2.0,1064,96,5201,83,2.5,760000.0,3862210,71505.72,714.2857142857143,0,0,0,1,0
3,2.0,1845,102,3945,85,2.5,1050000.0,3862210,71505.72,569.1056910569106,0,0,0,1,0
3,2.0,1263,101,7492,88,2.5,1270000.0,3862210,71505.72,1005.5423594615994,0,0,0,1,0
3,2.0,1008,114,5402,88,2.5,715000.0,3862210,71505.72,709.3253968253969,0,0,0,1,0
3,2.0,1598,114,5593,89,2.5,1150000.0,3862210,71505.72,719.6495619524405,0,0,0,1,0
3,2.0,1563,82,7456,9,2.5,1750000.0,3862210,71505.72,1119.6417146513115,0,0,0,1,0
3,2.0,1685,84,8273,9,2.5,2370000.0,3862210,71505.72,1406.5281899109793,0,0,0,1,0
3,2.0,1063,111,5205,9,2.5,735500.0,3862210,71505.72,691.9096895578551,0,0,0,1,0
3,2.0,1567,96,5399,9,2.5,1875000.0,3862210,71505.72,1196.553924696873,0,0,0,1,0
3,2.0,1208,73,5200,9,2.5,1408000.0,3862210,71505.72,1165.5629139072848,0,0,0,1,0
3,2.0,1088,102,4205,9,2.5,1275000.0,3862210,71505.72,1171.875,0,0,0,1,0
3,2.0,1101,77,6057,9,2.5,1350000.0,3862210,71505.72,1226.158038147139,0,0,0,1,0
3,2.0,1617,97,4999,91,2.5,1399000.0,3862210,71505.72,865.182436611008,0,0,0,1,0
3,2.0,1177,118,3984,92,2.5,654800.0,3862210,71505.72,556.3296516567544,0,0,0,1,0
3,2.0,930,95,3154,99,2.5,800000.0,3862210,71505.72,860.2150537634409,0,0,0,1,0
3,2.0,1320,16,3250,0,2.5,605000.0,3862210,71505.72,458.3333333333333,0,0,0,0,0
3,2.0,1410,102,5202,0,2.5,1381000.0,3862210,71505.72,979.4326241134752,0,0,0,0,0
3,2.0,1622,92,5000,0,2.5,1595000.0,3862210,71505.72,983.3538840937115,0,0,0,0,0
3,2.0,1369,84,4937,0,2.5,1495000.0,3862210,71505.72,1092.0379839298757,0,0,0,0,0
3,2.0,1200,106,4880,0,2.5,699900.0,3862210,71505.72,583.25,0,0,0,0,0
3,2.0,1558,39,6369,0,2.5,460000.0,3862210,71505.72,295.25032092426187,0,0,0,0,0
